Token equivalent
57291666.67
41666666.67
16666666.67
10416666.67
10416666.67
9027777.417
8333333.333
7291666.667
6944444.444
5208333.333
5208333.333
5000000
3366625.833
3333333.667
3125000
3125000
3124998.333
2708333.153
2500000
2479903.833
2447547.667
2083333.333
1984126.984
1885416.25
1833333.333
1805555.194
1667623
1625000
1562500.417
1249996.458
1239166.667
1041666.667
1041666.042
868055.5556
857738.6667
833334.6667
833333.3333
833333.3333
831085.5
666666.1667
520833.3333
520833.3333
451388.8889
451388.8889
243055.5556
198416.6667
138888.8889
138333.3333
40000000
30000000
10000000
10000000
2500000
2083333.333
1250000
1250000
1250000
1250000
833333.3333
625000
520833.3333
416666.6667
416666.6667
750000
750000
2500000
2500000
1562500
1000000
1250000
851916.6667
80010.41667
#NAME?
#NAME?
#NAME?
#NAME?
#NAME?
#NAME?
#NAME?
#NAME?
#NAME?
#NAME?
#NAME?
#NAME?






































































































































































































































































































































































































































































































































































































































































































































































































































































































































